round	score	delta	status	weakest	improvement
1	8.5451	0.000	discard	Recency	update version format
2	8.5451	0.000	discard	Recency	update version format
3	8.5451	0.000	discard	Recency	update version format
4	8.5451	0.000	discard	Recency	update version format
5	8.5451	0.000	discard	Recency	update version format
